run_date,disease,state,year,cumulative_notifications
2025-10-29,COVID-19,SA,2025,10278
2025-11-05,COVID-19,SA,2025,10394
2025-11-12,COVID-19,SA,2025,10487
2025-11-19,COVID-19,SA,2025,10646
2025-11-26,COVID-19,SA,2025,10791
2025-12-03,COVID-19,SA,2025,10941
2025-12-10,COVID-19,SA,2025,11039
2025-12-17,COVID-19,SA,2025,11180
2025-12-24,COVID-19,SA,2025,11319
2026-01-02,COVID-19,SA,2026,1
2026-01-07,COVID-19,SA,2026,31
2026-01-14,COVID-19,SA,2026,126
2026-01-21,COVID-19,SA,2026,200
2026-01-28,COVID-19,SA,2026,260
2026-02-04,COVID-19,SA,2026,367
2026-02-11,COVID-19,SA,2026,471
2026-02-18,COVID-19,SA,2026,636
2026-02-25,COVID-19,SA,2026,826
2026-03-04,COVID-19,SA,2026,1016
2026-03-11,COVID-19,SA,2026,1190
2026-03-18,COVID-19,SA,2026,1439
2026-03-25,COVID-19,SA,2026,1675
2026-04-01,COVID-19,SA,2026,1872
2026-04-08,COVID-19,SA,2026,2019
2026-04-15,COVID-19,SA,2026,2197
2026-04-22,COVID-19,SA,2026,2338
2026-04-29,COVID-19,SA,2026,2467
2026-05-06,COVID-19,SA,2026,2569
2026-05-13,COVID-19,SA,2026,2659
2026-05-20,COVID-19,SA,2026,2778
2026-05-27,COVID-19,SA,2026,2928
2026-06-03,COVID-19,SA,2026,3071
2026-06-10,COVID-19,SA,2026,3179
2026-06-17,COVID-19,SA,2026,3288
2026-06-24,COVID-19,SA,2026,3384
2026-07-01,COVID-19,SA,2026,3472
2026-07-08,COVID-19,SA,2026,3554
2026-07-15,COVID-19,SA,2026,3647
2024-10-02,COVID-19,TAS,2024,10897
2024-10-09,COVID-19,TAS,2024,10950
2024-10-16,COVID-19,TAS,2024,10997
2024-10-23,COVID-19,TAS,2024,11106
2024-10-30,COVID-19,TAS,2024,11183
2024-11-06,COVID-19,TAS,2024,11261
2024-11-13,COVID-19,TAS,2024,11378
2024-11-20,COVID-19,TAS,2024,11517
2024-11-27,COVID-19,TAS,2024,11700
2024-12-04,COVID-19,TAS,2024,11858
2024-12-11,COVID-19,TAS,2024,11985
2024-12-18,COVID-19,TAS,2024,12106
2024-12-25,COVID-19,TAS,2024,12230
2025-01-02,COVID-19,TAS,2025,0
2025-01-08,COVID-19,TAS,2025,47
2025-01-15,COVID-19,TAS,2025,107
2025-01-22,COVID-19,TAS,2025,174
2025-01-29,COVID-19,TAS,2025,228
2025-02-05,COVID-19,TAS,2025,299
2025-02-13,COVID-19,TAS,2025,367
2025-02-19,COVID-19,TAS,2025,416
2025-02-26,COVID-19,TAS,2025,465
2025-03-05,COVID-19,TAS,2025,509
2025-03-12,COVID-19,TAS,2025,529
2025-03-19,COVID-19,TAS,2025,570
2025-03-26,COVID-19,TAS,2025,594
2025-04-02,COVID-19,TAS,2025,627
2025-04-09,COVID-19,TAS,2025,667
2025-04-16,COVID-19,TAS,2025,703
2025-04-23,COVID-19,TAS,2025,710
2025-04-30,COVID-19,TAS,2025,767
2025-05-07,COVID-19,TAS,2025,812
2025-05-14,COVID-19,TAS,2025,840
2025-05-21,COVID-19,TAS,2025,881
2025-05-28,COVID-19,TAS,2025,927
2025-06-04,COVID-19,TAS,2025,990
2025-06-11,COVID-19,TAS,2025,1056
2025-06-18,COVID-19,TAS,2025,1208
2025-06-25,COVID-19,TAS,2025,1321
2025-07-02,COVID-19,TAS,2025,1415
2025-07-09,COVID-19,TAS,2025,1520
2025-07-16,COVID-19,TAS,2025,1640
2025-07-23,COVID-19,TAS,2025,1738
2025-07-30,COVID-19,TAS,2025,1839
2025-08-06,COVID-19,TAS,2025,1925
2025-08-13,COVID-19,TAS,2025,1996
2025-08-20,COVID-19,TAS,2025,2076
2025-08-27,COVID-19,TAS,2025,2150
2025-09-03,COVID-19,TAS,2025,2206
2025-09-10,COVID-19,TAS,2025,2324
2025-09-17,COVID-19,TAS,2025,2371
2025-09-24,COVID-19,TAS,2025,2404
2025-10-01,COVID-19,TAS,2025,2447
2025-10-08,COVID-19,TAS,2025,2487
2025-10-15,COVID-19,TAS,2025,2538
2025-10-22,COVID-19,TAS,2025,2564
2025-10-29,COVID-19,TAS,2025,2597
2025-11-05,COVID-19,TAS,2025,2636
2025-11-12,COVID-19,TAS,2025,2685
